yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,31,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1404,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,7326,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2618,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,59227,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,104803,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,574,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1401263,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,161,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,8803,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,5,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,12962,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,31765,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,711123,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,184764,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,198668,21.0000287,57.0036901,,
2019,2019,Re-Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,18470,21.0000287,57.0036901,,
