yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,8755423,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,1912680,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,20538900,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,4046835,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,83787,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,1084154,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,13143274,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,3579872,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,579301,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,4926326,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,299123,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,6017151,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,17435330,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,113261471,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,9637582,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Malta, Malta,545146,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,307662,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,31753,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,19807769,25.6242618,42.3528328,,
2007,2007,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,115807,25.6242618,42.3528328,,
