yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1225,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,90198,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3238,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,32332,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,80160,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,321355,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,8949,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,24282,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1090957,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,46821,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,891238,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1035,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5025,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4218,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,5617690,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,52750,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,150990,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,50416,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,59238,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,773093,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,9749,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,14567,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,19344,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,108190,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,484180,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,24993,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,41360,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,29555,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,298878,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,100841,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,145484,24.0002488,53.9994829,,
2003,2003,Export,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,22220,24.0002488,53.9994829,,
