yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,15480,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,852796,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,168105,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2424,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,6928,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3112072,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1013659,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,170570,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,13618,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,161059,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,8499,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1588547,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2009,2009,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,13391169,21.0000287,57.0036901,,
