yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,388,31.17,-7.33,51.67568633314729,27.673469819741847
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,329,31.17,-7.33,,
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,118,31.17,-7.33,17.925141963241547,-78.01492950057497
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,941,31.17,-7.33,43.897683433510366,-100.08947125585888
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,5845,31.17,-7.33,59.36075159783851,25.01346951967388
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,268795,31.17,-7.33,10.528384761701911,103.08333472012376
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,903402,31.17,-7.33,40.12399607988535,20.742583178432696
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,3102872,31.17,-7.33,47.92172048214207,7.866753258497997
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,4500434,31.17,-7.33,,
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,1383,31.17,-7.33,,
2006,2006,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,216360,31.17,-7.33,,
