yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,843000,33.87,35.84,37.977378106878206,73.97804075806764
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1000,33.87,35.84,51.67568633314729,27.673469819741847
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,110000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,51000,33.87,35.84,43.897683433510366,-100.08947125585888
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,7000,33.87,35.84,10.528384761701911,103.08333472012376
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,122000,33.87,35.84,25.499703063807168,75.5024015339642
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1365000,33.87,35.84,40.12399607988535,20.742583178432696
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,141000,33.87,35.84,6.06272746187266,22.727528470146083
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,31283000,33.87,35.84,26.42921218083572,52.86847103284948
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,12000,33.87,35.84,47.92172048214207,7.866753258497997
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,102937000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,1797000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,64657000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,13000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,589000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,4000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,618000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,467000,33.87,35.84,,
2004,2004,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,631000,33.87,35.84,,
