yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Oman,World,1,Animals; live,41062500,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,Bahrain,1,Animals; live,7683676,,,26.1551249,50.5344606
2016,2016,Re-Export,Oman,Bangladesh,1,Animals; live,790,,,24.4769288,90.2934413
2016,2016,Re-Export,Oman,Cyprus,1,Animals; live,283,,,34.9823018,33.1451285
2016,2016,Re-Export,Oman,France,1,Animals; live,52,,,46.603354,1.8883335
2016,2016,Re-Export,Oman,Gabon,1,Animals; live,67,,,-0.8999695,11.6899699
2016,2016,Re-Export,Oman,Germany,1,Animals; live,20,,,51.1638175,10.4478313
2016,2016,Re-Export,Oman,Iran,1,Animals; live,1026020,,,32.6475314,54.5643516
2016,2016,Re-Export,Oman,Iraq,1,Animals; live,55136,,,33.0955793,44.1749775
2016,2016,Re-Export,Oman,Ireland,1,Animals; live,205,,,52.865196,-7.9794599
2016,2016,Re-Export,Oman,Kuwait,1,Animals; live,23434988,,,29.2733964,47.4979476
2016,2016,Re-Export,Oman,Lebanon,1,Animals; live,20,,,33.8750629,35.843409
2016,2016,Re-Export,Oman,Malaysia,1,Animals; live,488,,,4.5693754,102.2656823
2016,2016,Re-Export,Oman,Pakistan,1,Animals; live,343,,,30.3308401,71.247499
2016,2016,Re-Export,Oman,Panama,1,Animals; live,33,,,8.559559,-81.1308434
2016,2016,Re-Export,Oman,Philippines,1,Animals; live,382,,,12.7503486,122.7312101
2016,2016,Re-Export,Oman,Qatar,1,Animals; live,8458750,,,25.3336984,51.2295295
2016,2016,Re-Export,Oman,Saudi Arabia,1,Animals; live,390241,,,25.6242618,42.3528328
2016,2016,Re-Export,Oman,Singapore,1,Animals; live,462,,,1.357107,103.8194992
2016,2016,Re-Export,Oman,South Africa,1,Animals; live,382,,,-28.8166236,24.991639
2016,2016,Re-Export,Oman,Sudan,1,Animals; live,65,,,14.5844444,29.4917691
2016,2016,Re-Export,Oman,United Arab Emirates,1,Animals; live,7672,,,24.0002488,53.9994829
2016,2016,Re-Export,Oman,Egypt,1,Animals; live,83,,,26.2540493,29.2675469
2016,2016,Re-Export,Oman,USA,1,Animals; live,559,,,,
2016,2016,Re-Export,Oman,Venezuela,1,Animals; live,1771,,,8.0018709,-66.1109318
2017,2017,Re-Export,Oman,World,1,Animals; live,4718753,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,Bahrain,1,Animals; live,2363190,,,26.1551249,50.5344606
2017,2017,Re-Export,Oman,Bangladesh,1,Animals; live,5799,,,24.4769288,90.2934413
2017,2017,Re-Export,Oman,Cyprus,1,Animals; live,330,,,34.9823018,33.1451285
2017,2017,Re-Export,Oman,Finland,1,Animals; live,501,,,63.2467777,25.9209164
2017,2017,Re-Export,Oman,Georgia,1,Animals; live,202,,,32.3293809,-83.1137366
2017,2017,Re-Export,Oman,Indonesia,1,Animals; live,102538,,,-2.4833826,117.8902853
2017,2017,Re-Export,Oman,Kuwait,1,Animals; live,391833,,,29.2733964,47.4979476
2017,2017,Re-Export,Oman,Malaysia,1,Animals; live,520,,,4.5693754,102.2656823
2017,2017,Re-Export,Oman,Philippines,1,Animals; live,522,,,12.7503486,122.7312101
2017,2017,Re-Export,Oman,Qatar,1,Animals; live,1478119,,,25.3336984,51.2295295
2017,2017,Re-Export,Oman,Romania,1,Animals; live,520,,,45.9852129,24.6859225
2017,2017,Re-Export,Oman,Saudi Arabia,1,Animals; live,70993,,,25.6242618,42.3528328
2017,2017,Re-Export,Oman,India,1,Animals; live,130,,,22.3511148,78.6677428
2017,2017,Re-Export,Oman,South Africa,1,Animals; live,40436,,,-28.8166236,24.991639
2017,2017,Re-Export,Oman,Thailand,1,Animals; live,390,,,14.8971921,100.83273
2017,2017,Re-Export,Oman,United Arab Emirates,1,Animals; live,168374,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,Egypt,1,Animals; live,252,,,26.2540493,29.2675469
2017,2017,Re-Export,Oman,United Kingdom,1,Animals; live,1435,,,54.7023545,-3.2765753
2017,2017,Re-Export,Oman,United Rep. of Tanzania,1,Animals; live,260,,,,
2017,2017,Re-Export,Oman,USA,1,Animals; live,39568,,,,
2017,2017,Re-Export,Oman,Yemen,1,Animals; live,52832,,,16.3471243,47.8915271
2018,2018,Re-Export,Oman,World,1,Animals; live,91708777,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,Bahrain,1,Animals; live,3403224,,,26.1551249,50.5344606
2018,2018,Re-Export,Oman,Sri Lanka,1,Animals; live,130,,,7.5554942,80.7137847
2018,2018,Re-Export,Oman,Germany,1,Animals; live,390,,,51.1638175,10.4478313
2018,2018,Re-Export,Oman,Indonesia,1,Animals; live,2626,,,-2.4833826,117.8902853
2018,2018,Re-Export,Oman,Kuwait,1,Animals; live,25154484,,,29.2733964,47.4979476
2018,2018,Re-Export,Oman,Malaysia,1,Animals; live,130,,,4.5693754,102.2656823
2018,2018,Re-Export,Oman,Pakistan,1,Animals; live,36137,,,30.3308401,71.247499
2018,2018,Re-Export,Oman,Philippines,1,Animals; live,723,,,12.7503486,122.7312101
2018,2018,Re-Export,Oman,Qatar,1,Animals; live,62897965,,,25.3336984,51.2295295
2018,2018,Re-Export,Oman,Saudi Arabia,1,Animals; live,260,,,25.6242618,42.3528328
2018,2018,Re-Export,Oman,India,1,Animals; live,520,,,22.3511148,78.6677428
2018,2018,Re-Export,Oman,Viet Nam,1,Animals; live,1011,,,15.9266657,107.9650855
2018,2018,Re-Export,Oman,South Africa,1,Animals; live,301,,,-28.8166236,24.991639
2018,2018,Re-Export,Oman,Thailand,1,Animals; live,150301,,,14.8971921,100.83273
2018,2018,Re-Export,Oman,United Arab Emirates,1,Animals; live,40527,,,24.0002488,53.9994829
2018,2018,Re-Export,Oman,Egypt,1,Animals; live,918,,,26.2540493,29.2675469
2018,2018,Re-Export,Oman,United Kingdom,1,Animals; live,3771,,,54.7023545,-3.2765753
2018,2018,Re-Export,Oman,Yemen,1,Animals; live,15352,,,16.3471243,47.8915271
2019,2019,Re-Export,Oman,World,1,Animals; live,28209175,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,Bahrain,1,Animals; live,1593222,,,26.1551249,50.5344606
2019,2019,Re-Export,Oman,Bangladesh,1,Animals; live,2002,,,24.4769288,90.2934413
2019,2019,Re-Export,Oman,Belgium,1,Animals; live,130,,,50.6402809,4.6667145
2019,2019,Re-Export,Oman,Sri Lanka,1,Animals; live,260,,,7.5554942,80.7137847
2019,2019,Re-Export,Oman,Georgia,1,Animals; live,26,,,32.3293809,-83.1137366
2019,2019,Re-Export,Oman,Kenya,1,Animals; live,390,,,1.4419683,38.4313975
2019,2019,Re-Export,Oman,Kuwait,1,Animals; live,11199941,,,29.2733964,47.4979476
2019,2019,Re-Export,Oman,Malaysia,1,Animals; live,520,,,4.5693754,102.2656823
2019,2019,Re-Export,Oman,Pakistan,1,Animals; live,25921,,,30.3308401,71.247499
2019,2019,Re-Export,Oman,Qatar,1,Animals; live,15261116,,,25.3336984,51.2295295
2019,2019,Re-Export,Oman,Saudi Arabia,1,Animals; live,2083,,,25.6242618,42.3528328
2019,2019,Re-Export,Oman,India,1,Animals; live,231,,,22.3511148,78.6677428
2019,2019,Re-Export,Oman,South Africa,1,Animals; live,2080,,,-28.8166236,24.991639
2019,2019,Re-Export,Oman,United Arab Emirates,1,Animals; live,10273,,,24.0002488,53.9994829
2019,2019,Re-Export,Oman,Turkey,1,Animals; live,41,,,38.9597594,34.9249653
