yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2004,2004.0,Export,Saudi Arabia,World,81.0,Other base metals; cermets; articles thereof,2958670.0,,25.6242618,42.3528328,-36.8535712,174.7456809
2004,2004.0,Export,Saudi Arabia,Bahrain,81.0,Other base metals; cermets; articles thereof,36800.0,,25.6242618,42.3528328,26.1551249,50.5344606
2004,2004.0,Export,Saudi Arabia,China,81.0,Other base metals; cermets; articles thereof,77333.0,,25.6242618,42.3528328,35.000074,104.999927
2004,2004.0,Export,Saudi Arabia,Germany,81.0,Other base metals; cermets; articles thereof,125333.0,,25.6242618,42.3528328,51.1638175,10.4478313
2004,2004.0,Export,Saudi Arabia,Greece,81.0,Other base metals; cermets; articles thereof,40000.0,,25.6242618,42.3528328,38.9953683,21.9877132
2004,2004.0,Export,Saudi Arabia,Rep. of Korea,81.0,Other base metals; cermets; articles thereof,640001.0,,25.6242618,42.3528328,,
2004,2004.0,Export,Saudi Arabia,Kuwait,81.0,Other base metals; cermets; articles thereof,89600.0,,25.6242618,42.3528328,29.2733964,47.4979476
2004,2004.0,Export,Saudi Arabia,Malaysia,81.0,Other base metals; cermets; articles thereof,48000.0,,25.6242618,42.3528328,4.5693754,102.2656823
2004,2004.0,Export,Saudi Arabia,Malta,81.0,Other base metals; cermets; articles thereof,72000.0,,25.6242618,42.3528328,35.8885993,14.4476911
2004,2004.0,Export,Saudi Arabia,Netherlands,81.0,Other base metals; cermets; articles thereof,134667.0,,25.6242618,42.3528328,52.2434979,5.6343227
2004,2004.0,Export,Saudi Arabia,Pakistan,81.0,Other base metals; cermets; articles thereof,193600.0,,25.6242618,42.3528328,30.3308401,71.247499
2004,2004.0,Export,Saudi Arabia,India,81.0,Other base metals; cermets; articles thereof,688001.0,,25.6242618,42.3528328,22.3511148,78.6677428
2004,2004.0,Export,Saudi Arabia,Singapore,81.0,Other base metals; cermets; articles thereof,40000.0,,25.6242618,42.3528328,1.357107,103.8194992
2004,2004.0,Export,Saudi Arabia,Fmr Sudan,81.0,Other base metals; cermets; articles thereof,62933.0,,25.6242618,42.3528328,18.046398,34.41288
2004,2004.0,Export,Saudi Arabia,United Arab Emirates,81.0,Other base metals; cermets; articles thereof,46400.0,,25.6242618,42.3528328,24.0002488,53.9994829
2004,2004.0,Export,Saudi Arabia,Egypt,81.0,Other base metals; cermets; articles thereof,488001.0,,25.6242618,42.3528328,26.2540493,29.2675469
2004,2004.0,Export,Saudi Arabia,United Kingdom,81.0,Other base metals; cermets; articles thereof,80000.0,,25.6242618,42.3528328,54.7023545,-3.2765753
2004,2004.0,Export,Saudi Arabia,USA,81.0,Other base metals; cermets; articles thereof,96000.0,,25.6242618,42.3528328,39.7837304,-100.445882
