yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,169026,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,34713,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,39519,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,103605,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,3493195,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,27503,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,102804,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,551937,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,439787,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,99600,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Libya, Libya,145261,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Oman, Oman,41923,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,77437,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,965822,25.6242618,42.3528328,,
2006,2006,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,694260,25.6242618,42.3528328,,
