yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,186271,31.46,34.26,-16.85099460447687,133.4130365630627
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,12122792,31.46,34.26,51.67568633314729,27.673469819741847
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,71124,31.46,34.26,17.925141963241547,-78.01492950057497
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,81332,31.46,34.26,43.897683433510366,-100.08947125585888
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1066226,31.46,34.26,59.36075159783851,25.01346951967388
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,28453,31.46,34.26,10.528384761701911,103.08333472012376
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,22958,31.46,34.26,25.499703063807168,75.5024015339642
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,304811,31.46,34.26,40.12399607988535,20.742583178432696
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,59077,31.46,34.26,6.06272746187266,22.727528470146083
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,25058442,31.46,34.26,26.42921218083572,52.86847103284948
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,1101363,31.46,34.26,47.92172048214207,7.866753258497997
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,89314412,31.46,34.26,,
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,49199253,31.46,34.26,,
2013,2013,Import,State of Palestine,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,12309,31.46,34.26,,
