yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,9026,33.8750629,35.843409,37.977378106878206,73.97804075806764
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,289505,33.8750629,35.843409,51.67568633314729,27.673469819741847
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,5570,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,13529,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,232731,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,149603,33.8750629,35.843409,59.36075159783851,25.01346951967388
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,20491,33.8750629,35.843409,10.528384761701911,103.08333472012376
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,79357,33.8750629,35.843409,25.499703063807168,75.5024015339642
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1494350,33.8750629,35.843409,40.12399607988535,20.742583178432696
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,4087,33.8750629,35.843409,6.06272746187266,22.727528470146083
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,94178,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,908218,33.8750629,35.843409,26.42921218083572,52.86847103284948
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,6058348,33.8750629,35.843409,47.92172048214207,7.866753258497997
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,9794230,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,76592,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,192384,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,5766,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,619,33.8750629,35.843409,,
2003,2003,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,144667,33.8750629,35.843409,,
