yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,411143,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,104596,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,153795,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1812231,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,4658569,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,37586,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,3195525,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,2188553,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,5436294,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,282375,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5048349,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,16534898,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,610732,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,14960805,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2003,2003,Export,Turkey,11,Products of the milling industry; malt; starches; inulin,World,World,139967633,38.9597594,34.9249653,,
