yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,31075,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,272214,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,912075,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,787718,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,900,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,5632378,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1048654,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,786886,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,28449,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,6647962,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,849,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,10710,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,19241364,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;,World,World,59792650,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Algeria, Algeria,11424,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Azerbaijan, Azerbaijan,279045,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,651345,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,1265828,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,678565,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,23026,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,366809,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,4931504,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,881728,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,66694,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Malta, Malta,2475,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,64189,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,27662,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,499701,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,11227101,38.9597594,34.9249653,,
2002,2002,Export,Turkey,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,1788670,38.9597594,34.9249653,,
