yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,171096,31.17,-7.33,37.977378106878206,73.97804075806764
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,858,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,111715,31.17,-7.33,17.925141963241547,-78.01492950057497
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,4613560,31.17,-7.33,6.06272746187266,22.727528470146083
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,42442914,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,129230,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,61210,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,4263734,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,458605,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,7890987,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,3704010,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,411153,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,538505,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,653535,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,13294500,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1035956,31.17,-7.33,,
2003,2003,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,5017704,31.17,-7.33,,
