yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,36313,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,638,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,5901,35.8885993,14.4476911,,
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,809351,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,96708,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,917602,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,7667,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1389291,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,43613,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,935842,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4252539,35.8885993,14.4476911,,
2009,2009,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,2200,35.8885993,14.4476911,,
