yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,475,33.87,35.84,51.67568633314729,27.673469819741847
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,8049,33.87,35.84,17.925141963241547,-78.01492950057497
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,3917,33.87,35.84,43.897683433510366,-100.08947125585888
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,5627,33.87,35.84,59.36075159783851,25.01346951967388
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,380,33.87,35.84,40.12399607988535,20.742583178432696
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,36585,33.87,35.84,6.06272746187266,22.727528470146083
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,69516,33.87,35.84,26.42921218083572,52.86847103284948
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4751,33.87,35.84,47.92172048214207,7.866753258497997
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,248704,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,95,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Iraq, Iraq,56698,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Jordan, Jordan,18999,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,15822,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,385,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,5750,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,2604,33.87,35.84,,
2002,2002,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,18225,33.87,35.84,,
