yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2122582,31.46,34.26,37.977378106878206,73.97804075806764
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,4034,31.46,34.26,51.67568633314729,27.673469819741847
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,57216,31.46,34.26,,
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,17651,31.46,34.26,17.925141963241547,-78.01492950057497
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,22422,31.46,34.26,43.897683433510366,-100.08947125585888
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,22956,31.46,34.26,59.36075159783851,25.01346951967388
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,31347,31.46,34.26,10.528384761701911,103.08333472012376
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,816033,31.46,34.26,40.12399607988535,20.742583178432696
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1627246,31.46,34.26,26.42921218083572,52.86847103284948
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,746825,31.46,34.26,47.92172048214207,7.866753258497997
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,12473812,31.46,34.26,,
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,6333840,31.46,34.26,,
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,588052,31.46,34.26,,
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,31263,31.46,34.26,,
2021,2021,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,3305,31.46,34.26,,
