yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,238,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,28,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,67764,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3482,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,622783,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,886,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,34499,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,77259,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1236917,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,76077,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,2862,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,37812,31.1728205,-7.3362482,,
2013,2013,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Mauritania, Mauritania,313229,31.1728205,-7.3362482,,
