yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Re-Export,Kuwait,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8309906,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,Angola,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",632,,,-11.8775768,17.5691241
2019,2019,Re-Export,Kuwait,Australia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21019,,,-24.7761086,134.755
2019,2019,Re-Export,Kuwait,Bahrain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",33556,,,26.1551249,50.5344606
2019,2019,Re-Export,Kuwait,Bangladesh,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7694,,,24.4769288,90.2934413
2019,2019,Re-Export,Kuwait,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",13527,,,50.6402809,4.6667145
2019,2019,Re-Export,Kuwait,Bolivia (Plurinational State of),82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",19103,,,,
2019,2019,Re-Export,Kuwait,Brazil,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7965,,,-10.3333333,-53.2
2019,2019,Re-Export,Kuwait,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1878,,,,
2019,2019,Re-Export,Kuwait,Canada,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15843,,,61.0666922,-107.991707
2019,2019,Re-Export,Kuwait,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",16019,,,35.000074,104.999927
2019,2019,Re-Export,Kuwait,Colombia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",583,,,4.099917,-72.9088133
2019,2019,Re-Export,Kuwait,France,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",256699,,,46.603354,1.8883335
2019,2019,Re-Export,Kuwait,Germany,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1069106,,,51.1638175,10.4478313
2019,2019,Re-Export,Kuwait,Indonesia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",18852,,,-2.4833826,117.8902853
2019,2019,Re-Export,Kuwait,Iran,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",79315,,,32.6475314,54.5643516
2019,2019,Re-Export,Kuwait,Iraq,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",74711,,,33.0955793,44.1749775
2019,2019,Re-Export,Kuwait,Italy,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4901,,,42.6384261,12.674297
2019,2019,Re-Export,Kuwait,Kazakhstan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",20705,,,48.1012954,66.7780818
2019,2019,Re-Export,Kuwait,Jordan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",37077,,,31.1667049,36.941628
2019,2019,Re-Export,Kuwait,Rep. of Korea,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2523,,,,
2019,2019,Re-Export,Kuwait,Lebanon,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",21301,,,33.8750629,35.843409
2019,2019,Re-Export,Kuwait,Libya,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1184,,,26.8234472,18.1236723
2019,2019,Re-Export,Kuwait,Luxembourg,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1583,,,,
2019,2019,Re-Export,Kuwait,Malaysia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15204,,,4.5693754,102.2656823
2019,2019,Re-Export,Kuwait,Maldives,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1692,,,3.7203503,73.2244152
2019,2019,Re-Export,Kuwait,Mauritania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",178,,,20.2540382,-9.2399263
