yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2574,31.17,-7.33,37.977378106878206,73.97804075806764
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,2135,31.17,-7.33,51.67568633314729,27.673469819741847
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2943,31.17,-7.33,17.925141963241547,-78.01492950057497
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,320,31.17,-7.33,59.36075159783851,25.01346951967388
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,17758,31.17,-7.33,40.12399607988535,20.742583178432696
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,662704,31.17,-7.33,6.06272746187266,22.727528470146083
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,8,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1557,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,7017,31.17,-7.33,47.92172048214207,7.866753258497997
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1344411,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,4080,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,1737,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,83,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,615321,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,24505,31.17,-7.33,,
2020,2020,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1653,31.17,-7.33,,
