rtTitle,Subregion,rgDesc,TradeValue
Morocco,Afghanistan,Export,1502078
Morocco,Algeria,Export,232548219
Morocco,Algeria,Import,616435661
Morocco,Armenia,Export,3120
Morocco,Armenia,Import,1179
Morocco,Azerbaijan,Export,47479
Morocco,Azerbaijan,Import,13853
Morocco,Bahrain,Export,3763209
Morocco,Bahrain,Import,62405894
Morocco,Comoros,Export,1894834
Morocco,Cyprus,Export,622048
Morocco,Cyprus,Import,1566075
Morocco,Djibouti,Export,74484269
Morocco,Djibouti,Import,10047
Morocco,Georgia,Export,2150990
Morocco,Georgia,Import,1602434
Morocco,Iraq,Export,8850973
Morocco,Iraq,Import,598175
Morocco,Jordan,Export,22221468
Morocco,Jordan,Import,15792374
Morocco,Kuwait,Export,5219811
Morocco,Kuwait,Import,25745157
Morocco,Lebanon,Export,25561582
Morocco,Lebanon,Import,23891360
Morocco,Libya,Export,89527297
Morocco,Libya,Import,11060094
Morocco,Malta,Export,4011123
Morocco,Malta,Import,2691917
Morocco,Mauritania,Export,165040211
Morocco,Mauritania,Import,211011
Morocco,Oman,Export,6367991
Morocco,Oman,Import,19066015
Morocco,Pakistan,Export,230849660
Morocco,Pakistan,Import,28903017
Morocco,Qatar,Export,7967659
Morocco,Qatar,Import,54369043
Morocco,Saudi Arabia,Export,85180341
Morocco,Saudi Arabia,Import,799203760
Morocco,State of Palestine,Export,7287890
Morocco,State of Palestine,Import,194908
Morocco,United Arab Emirates,Export,94602504
Morocco,United Arab Emirates,Import,663263459
Morocco,Yemen,Export,3641682
