yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,52714523,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,454,16.3471243,47.8915271,39.89317229901691,61.060280637304274
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2244560,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,9361366,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,15155102,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,2654920,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,20369442,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,28345215,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,2022552,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2171602,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,58753,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1572271,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,5403631,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,42140557,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,211673885,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,2758887,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,463718,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,36265,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,4343,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,2418,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1579674,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,4716704,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,11948,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,342,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,12659631,16.3471243,47.8915271,,
2007,2007,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1125631,16.3471243,47.8915271,,
