yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,18993,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7883,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,98138,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2633,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,16563,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,201965,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,465,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,19169,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,17394,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,18585,34.9823018,33.1451285,,
2003,2003,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,1870,34.9823018,33.1451285,,
