yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,456684,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,25360,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,499295,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,5405283,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,383275,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,4399617,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,12503179,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,109,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1391584,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,21095,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,21442850,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;,World,World,52343286,38.9597594,34.9249653,,
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,5375097,38.9597594,34.9249653,,
2003,2003,Import,Turkey,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,240198,38.9597594,34.9249653,,
