yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,335831,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,6137013,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,96016,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,52,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,110314,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1472013,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,76474,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4000447,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,43524,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,387290,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,15774001,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,739339,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,31285,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,113817431,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,73079,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1985461,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,621313,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Djibouti, Djibouti,228442,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,1271506,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,244778,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,1779373,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,169363,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Libya, Libya,286229,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,558133,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,862585,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,9571149,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,2067573,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, State of Palestine, State of Palestine,254848,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,21400882,21.0000287,57.0036901,,
2007,2007,Export,Oman,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,37964977,21.0000287,57.0036901,,
