yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2010,2010.0,Export,Malta,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2591688.0,,35.8885993,14.4476911,-36.8535712,174.7456809
2010,2010.0,Export,Malta,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7863.0,,35.8885993,14.4476911,-24.7761086,134.755
2010,2010.0,Export,Malta,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",78.0,,35.8885993,14.4476911,47.59397,14.12456
2010,2010.0,Export,Malta,Bulgaria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",819.0,,35.8885993,14.4476911,42.6073975,25.4856617
2010,2010.0,Export,Malta,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1407.0,,35.8885993,14.4476911,61.0666922,-107.991707
2010,2010.0,Export,Malta,Sri Lanka,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",464.0,,35.8885993,14.4476911,7.5554942,80.7137847
2010,2010.0,Export,Malta,Chile,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",26491.0,,35.8885993,14.4476911,-31.7613365,-71.3187697
2010,2010.0,Export,Malta,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2231.0,,35.8885993,14.4476911,35.000074,104.999927
2010,2010.0,Export,Malta,Ethiopia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",105965.0,,35.8885993,14.4476911,10.2116702,38.6521203
2010,2010.0,Export,Malta,Finland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",294.0,,35.8885993,14.4476911,63.2467777,25.9209164
2010,2010.0,Export,Malta,France,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",8623.0,,35.8885993,14.4476911,46.603354,1.8883335
2010,2010.0,Export,Malta,Germany,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1721021.0,,35.8885993,14.4476911,51.1638175,10.4478313
2010,2010.0,Export,Malta,"China, Hong Kong SAR",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",113.0,,35.8885993,14.4476911,22.350627,114.1849161
2010,2010.0,Export,Malta,Iceland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1788.0,,35.8885993,14.4476911,64.9841821,-18.1059013
2010,2010.0,Export,Malta,Indonesia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3974.0,,35.8885993,14.4476911,-2.4833826,117.8902853
2010,2010.0,Export,Malta,Ireland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",55787.0,,35.8885993,14.4476911,52.865196,-7.9794599
2010,2010.0,Export,Malta,Italy,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",23928.0,,35.8885993,14.4476911,42.6384261,12.674297
2010,2010.0,Export,Malta,Japan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",18911.0,,35.8885993,14.4476911,36.5748441,139.2394179
2010,2010.0,Export,Malta,Libya,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",325015.0,,35.8885993,14.4476911,26.8234472,18.1236723
2010,2010.0,Export,Malta,Morocco,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",13246.0,,35.8885993,14.4476911,31.1728205,-7.3362482
2010,2010.0,Export,Malta,Netherlands,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",11.0,,35.8885993,14.4476911,52.2434979,5.6343227
2010,2010.0,Export,Malta,Norway,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5603.0,,35.8885993,14.4476911,60.5000209,9.0999715
2010,2010.0,Export,Malta,Pakistan,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",9485.0,,35.8885993,14.4476911,30.3308401,71.247499
2010,2010.0,Export,Malta,Philippines,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",970.0,,35.8885993,14.4476911,12.7503486,122.7312101
2010,2010.0,Export,Malta,Poland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",17.0,,35.8885993,14.4476911,52.215933,19.134422
2010,2010.0,Export,Malta,Saudi Arabia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5651.0,,35.8885993,14.4476911,25.6242618,42.3528328
2010,2010.0,Export,Malta,Switzerland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",46499.0,,35.8885993,14.4476911,46.7985624,8.2319736
2010,2010.0,Export,Malta,United Arab Emirates,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",23602.0,,35.8885993,14.4476911,24.0002488,53.9994829
2010,2010.0,Export,Malta,Turkey,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",3.0,,35.8885993,14.4476911,38.9597594,34.9249653
2010,2010.0,Export,Malta,Egypt,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",7.0,,35.8885993,14.4476911,26.2540493,29.2675469
2010,2010.0,Export,Malta,United Kingdom,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",46667.0,,35.8885993,14.4476911,54.7023545,-3.2765753
2010,2010.0,Export,Malta,United Rep. of Tanzania,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",457.0,,35.8885993,14.4476911,,
2010,2010.0,Export,Malta,Bunkers,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",77911.0,,35.8885993,14.4476911,42.18544695,-71.13717580263157
2010,2010.0,Export,Malta,USA,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",54797.0,,35.8885993,14.4476911,39.7837304,-100.445882
2010,2010.0,Export,Malta,"Areas, nes",82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1993.0,,35.8885993,14.4476911,,
