yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,137098,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,54221,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,44634,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,41657,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,414492,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,330601,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1178777,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,146737,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,25810,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,20662,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,388238,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,603508,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,World,World,31187622,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Bahrain, Bahrain,724,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Kuwait, Kuwait,1089520,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,168152,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,893994,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,9997,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,173255,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,State of Palestine, State of Palestine,2250,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,24120608,25.3336984,51.2295295,,
2008,2008,Import,Qatar,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,6724,25.3336984,51.2295295,,
