yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2013,2013,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1101
2013,2013,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,990
2013,2013,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2091
