yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,271000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,6182000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1437000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,230000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,18730000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,16221000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,435000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,12096000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,199000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2416000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,54840000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2014,2014,Import,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,115610000,30.8124247,34.8594762,,
