yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,51372,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,47683,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,787076,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,1458,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,265,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,30665,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1281707,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,15301,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,6584,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Mauritania, Mauritania,338280,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,2375,31.1728205,-7.3362482,,
2016,2016,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,245,31.1728205,-7.3362482,,
