yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,91000,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,60034,40.7696272,44.6736646,39.89317229901691,61.060280637304274
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,7861758,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,75400,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,58320,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,2844886,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,17542,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,19175,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,48871,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1104172,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2005,2005,Import,Armenia,4,Dairy produce; birds eggs; natural honey;,World,World,12860126,40.7696272,44.6736646,,
