yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,161349,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,224,,,35.000074,104.999927
2016,2016,Import,Comoros,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,298,,,46.603354,1.8883335
2016,2016,Import,Comoros,Kenya,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1068,,,1.4419683,38.4313975
2016,2016,Import,Comoros,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,27516,,,22.3511148,78.6677428
2016,2016,Import,Comoros,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,117821,,,-28.8166236,24.991639
2016,2016,Import,Comoros,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,14261,,,24.0002488,53.9994829
2016,2016,Import,Comoros,United Rep. of Tanzania,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,157,,,,
2018,2018,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,154335,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,159,,,46.603354,1.8883335
2018,2018,Import,Comoros,Madagascar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,44618,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,India,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12905,,,22.3511148,78.6677428
2018,2018,Import,Comoros,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,96113,,,-28.8166236,24.991639
2018,2018,Import,Comoros,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,284,,,24.0002488,53.9994829
2018,2018,Import,Comoros,United Rep. of Tanzania,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,254,,,,
2019,2019,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,103049,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,102657,,,-28.8166236,24.991639
2019,2019,Import,Comoros,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,392,,,24.0002488,53.9994829
2020,2020,Import,Comoros,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,105500,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,France,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,24,,,46.603354,1.8883335
2020,2020,Import,Comoros,Madagascar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,50,,,-18.9249604,46.4416422
2020,2020,Import,Comoros,South Africa,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,104963,,,-28.8166236,24.991639
2020,2020,Import,Comoros,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,463,,,24.0002488,53.9994829
