yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,37121,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,257759,31.1667049,36.941628,6.06272746187266,22.727528470146083
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,110226,31.1667049,36.941628,26.42921218083572,52.86847103284948
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3283487,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,9825,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,1266553,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,14962,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,319193,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,29168,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,21320,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,626154,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,152221,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,212926,31.1667049,36.941628,,
2004,2004,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,134683,31.1667049,36.941628,,
