yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,63035,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,866418,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1343451,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,724948,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,114689,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1313727,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,9369923,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1135233,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,16214739,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1456682,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,335860,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1996722,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,2055399,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,203653219,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,632077,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,16775,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,1868022,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,73189,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,6331405,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,150522335,21.0000287,57.0036901,,
2010,2010,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,7810,21.0000287,57.0036901,,
