yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,17373,33.87,35.84,-16.85099460447687,133.4130365630627
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,292443,33.87,35.84,37.977378106878206,73.97804075806764
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,7330488,33.87,35.84,51.67568633314729,27.673469819741847
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2017162,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,846886,33.87,35.84,17.925141963241547,-78.01492950057497
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,522987,33.87,35.84,43.897683433510366,-100.08947125585888
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1165239,33.87,35.84,59.36075159783851,25.01346951967388
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,404,33.87,35.84,10.528384761701911,103.08333472012376
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,383,33.87,35.84,25.499703063807168,75.5024015339642
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,11765683,33.87,35.84,40.12399607988535,20.742583178432696
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,188865,33.87,35.84,6.06272746187266,22.727528470146083
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,403827,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,35353629,33.87,35.84,26.42921218083572,52.86847103284948
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1219024,33.87,35.84,47.92172048214207,7.866753258497997
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,67962954,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,123475,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,905115,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,200232,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,1746610,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,7304,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,38308,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,2278994,33.87,35.84,,
2003,2003,Import,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,879,33.87,35.84,,
