yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,31152025,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,62662,31.1667049,36.941628,37.977378106878206,73.97804075806764
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,7809099,31.1667049,36.941628,51.67568633314729,27.673469819741847
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,9336048,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,7361728,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1094930,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,4427871,31.1667049,36.941628,59.36075159783851,25.01346951967388
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,5918297,31.1667049,36.941628,10.528384761701911,103.08333472012376
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,9297,31.1667049,36.941628,25.499703063807168,75.5024015339642
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,592897,31.1667049,36.941628,40.12399607988535,20.742583178432696
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,187349,31.1667049,36.941628,6.06272746187266,22.727528470146083
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,4214632,31.1667049,36.941628,26.42921218083572,52.86847103284948
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,28437277,31.1667049,36.941628,47.92172048214207,7.866753258497997
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,127380152,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,19347,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,437045,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,885275,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,108316,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,9872275,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,46578,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,3032,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,13371329,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,101270,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,462362,31.1667049,36.941628,,
2006,2006,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,52159,31.1667049,36.941628,,
