yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,48940161,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,543674,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,5480647,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,17716471,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1368696,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,32978245,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,27548756,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,5376150,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,212581,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,11966,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,280270,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,174522,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,6355953,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,42594405,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,225869057,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,2034564,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,22385,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,250,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,342723,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,85235,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,330556,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,4243446,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,22561,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,16627327,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, State of Palestine, State of Palestine,2881,16.3471243,47.8915271,,
2008,2008,Import,Yemen,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,996955,16.3471243,47.8915271,,
