yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,6749644,,,-36.8535712,174.7456809
2019,2019,Re-Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,18979358,,,-36.8535712,174.7456809
2020,2020,Re-Export,Kuwait,World,64,Footwear; gaiters and the like; parts of such articles,10556441,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,3545214,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,24837566,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,31345409,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,26775560,,,-36.8535712,174.7456809
2020,2020,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,17873275,,,-36.8535712,174.7456809
2021,2021,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,18835820,,,-36.8535712,174.7456809
2016,2016,Re-Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,7183397,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Re-Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,3079120,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Re-Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8516482,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Re-Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,9863852,,,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,13862094,,,-36.8535712,174.7456809
2020,2020,Re-Export,Saudi Arabia,World,64,Footwear; gaiters and the like; parts of such articles,8798876,,,-36.8535712,174.7456809
