yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1223399,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,323927,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,4140,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,480944,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1310620,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,512828,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,26985,16.3471243,47.8915271,25.499703063807168,75.5024015339642
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,292903,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,674,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,14832,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,90516,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,301294,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7801705,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,150516,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,48354,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,14823,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,12476,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1980367,16.3471243,47.8915271,,
2012,2012,Import,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,71366,16.3471243,47.8915271,,
