yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,78,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2013,2013,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,339,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2013,2013,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1005790,29.2733964,47.4979476,,
