rtTitle,Subregion,rgDesc,TradeValue
Turkey,Afghanistan,Export,135895774
Turkey,Afghanistan,Import,14874041
Turkey,Algeria,Export,1633512630
Turkey,Algeria,Import,469546824
Turkey,Armenia,Export,409299
Turkey,Armenia,Import,1501954
Turkey,Azerbaijan,Export,1147661685
Turkey,Azerbaijan,Import,247731919
Turkey,Bahrain,Export,112684029
Turkey,Bahrain,Import,140963465
Turkey,Comoros,Export,4871132
Turkey,Comoros,Import,42192
Turkey,Cyprus,Export,836894148
Turkey,Cyprus,Import,87690448
Turkey,Djibouti,Export,81050486
Turkey,Djibouti,Import,50787
Turkey,Georgia,Export,1105874909
Turkey,Georgia,Import,225896531
Turkey,Iraq,Export,7684431263
Turkey,Iraq,Import,852474737
Turkey,Israel,Export,2701893798
Turkey,Israel,Import,1259033645
Turkey,Jordan,Export,648001252
Turkey,Jordan,Import,107160029
Turkey,Kuwait,Export,401819070
Turkey,Kuwait,Import,129902390
Turkey,Lebanon,Export,705064319
Turkey,Lebanon,Import,89970087
Turkey,Libya,Export,828162297
Turkey,Libya,Import,195032066
Turkey,Malta,Export,233452303
Turkey,Malta,Import,38710579
Turkey,Mauritania,Export,73884084
Turkey,Mauritania,Import,18462730
Turkey,Morocco,Export,1330264867
Turkey,Morocco,Import,914042800
Turkey,Oman,Export,225654831
Turkey,Oman,Import,33083393
Turkey,Pakistan,Export,333540273
Turkey,Pakistan,Import,246781434
Turkey,Qatar,Export,458381806
Turkey,Qatar,Import,201443050
Turkey,Saudi Arabia,Export,3005327134
Turkey,Saudi Arabia,Import,599492140
Turkey,State of Palestine,Export,81695928
Turkey,State of Palestine,Import,3472191
Turkey,United Arab Emirates,Export,5362873358
Turkey,United Arab Emirates,Import,3573769572
Turkey,World,Export,138137558449
Turkey,World,Import,181694418989
Turkey,Yemen,Export,528758172
Turkey,Yemen,Import,250824
