yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3112908,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4203608,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4146207,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,5079860,,,-36.8535712,174.7456809
2016,2016,Import,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,163226773,,,-36.8535712,174.7456809
2018,2018,Import,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,201662960,,,-36.8535712,174.7456809
2019,2019,Import,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,167474286,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,156052308,,,-36.8535712,174.7456809
2016,2016,Import,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,494292483,,,-36.8535712,174.7456809
2017,2017,Import,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,234782283,,,-36.8535712,174.7456809
2018,2018,Import,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,226739227,,,-36.8535712,174.7456809
2019,2019,Import,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,214971465,,,-36.8535712,174.7456809
2021,2021,Import,Oman,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,345607065,,,-36.8535712,174.7456809
2016,2016,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,106245585,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,110560982,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,98946981,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,83274422,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,86620094,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,114993869,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,961065201,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,889854923,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,804738623,,,-36.8535712,174.7456809
2020,2020,Import,Saudi Arabia,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,706562717,,,-36.8535712,174.7456809
2015,2015,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1770477769,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1673456364,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1512044855,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1215596381,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1241596776,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2499341957,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Import,Yemen,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,38308310,,,-36.8535712,174.7456809
2019,2019,Import,Yemen,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,43975648,,,-36.8535712,174.7456809
