yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,513855,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2013,2013,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,946,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2013,2013,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,544462,34.9823018,33.1451285,,
2013,2013,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,20788,34.9823018,33.1451285,,
2013,2013,Export,Cyprus,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,8872,34.9823018,33.1451285,,
