yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,148137
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,235438
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,50954
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,74748
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,332027
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,140043
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,13825
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2472695
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,69467
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,8924394
2005,2005,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,World,World,13186384
