yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,439,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2008,2008,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,104122,26.1551249,50.5344606,,
2008,2008,Export,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,64231,26.1551249,50.5344606,,
