yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,387964,33.7680065,66.2385139,-16.85099460447687,133.4130365630627
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,30722085,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,811091,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,2222998,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,5325629,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,6640433,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1423947,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,25112381,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1383,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,132,33.7680065,66.2385139,6.06272746187266,22.727528470146083
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,5769115,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,7447433,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;,World,World,131655765,33.7680065,66.2385139,,
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Azerbaijan, Azerbaijan,151121,33.7680065,66.2385139,,
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,466372,33.7680065,66.2385139,,
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,37961049,33.7680065,66.2385139,,
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,72358,33.7680065,66.2385139,,
2017,2017,Import,Afghanistan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,464101,33.7680065,66.2385139,,
