yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,5459,30.3308401,71.247499,37.977378106878206,73.97804075806764
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,297026,30.3308401,71.247499,59.36075159783851,25.01346951967388
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2010995,30.3308401,71.247499,10.528384761701911,103.08333472012376
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2542956,30.3308401,71.247499,25.499703063807168,75.5024015339642
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,560903,30.3308401,71.247499,6.06272746187266,22.727528470146083
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,589,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1806276,30.3308401,71.247499,26.42921218083572,52.86847103284948
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,642742,30.3308401,71.247499,47.92172048214207,7.866753258497997
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8953273,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,51440,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,457,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Djibouti, Djibouti,61809,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,5409,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,304,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,400,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,99098,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,270749,30.3308401,71.247499,,
2011,2011,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,4978,30.3308401,71.247499,,
