yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,434574,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,2806,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,188310,28.0000272,2.9999825,,
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,408,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,47027,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,435920,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,61127,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2414017,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,5239,28.0000272,2.9999825,,
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,256432,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,8912197,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,World,World,13095514,28.0000272,2.9999825,,
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Lebanon, Lebanon,287369,28.0000272,2.9999825,,
2006,2006,Import,Algeria,11,Products of the milling industry; malt; starches; inulin,Morocco, Morocco,22579,28.0000272,2.9999825,,
