yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Eastern Asia,Asia,73832
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Latin America and the Caribbean,Americas,138994
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Northern Africa,Africa,145108
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Northern America,Americas,287435
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Northern Europe,Europe,57664
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",South-eastern Asia,Asia,141553
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Southern Asia,Asia,686
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Southern Europe,Europe,663626
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Sub-Saharan Africa,Africa,44237
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",Western Europe,Europe,2002726
2001,2001,Import,Algeria,13,"Lac, gums, resins, vegetable saps and extracts nes",World,World,3668286
