yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,205,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,282,29.2733964,47.4979476,51.67568633314729,27.673469819741847
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1411,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,207540,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1104,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,98387,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,22752,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,2802,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,64704,29.2733964,47.4979476,,
2007,2007,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,15893,29.2733964,47.4979476,,
