yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,3898670,25.62,42.35,-16.85099460447687,133.4130365630627
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,11896546,25.62,42.35,37.977378106878206,73.97804075806764
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,562933,25.62,42.35,51.67568633314729,27.673469819741847
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,7169608,25.62,42.35,,
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,600266,25.62,42.35,17.925141963241547,-78.01492950057497
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,45378456,25.62,42.35,43.897683433510366,-100.08947125585888
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,29082968,25.62,42.35,59.36075159783851,25.01346951967388
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4176004,25.62,42.35,10.528384761701911,103.08333472012376
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,8877876,25.62,42.35,40.12399607988535,20.742583178432696
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,74132,25.62,42.35,6.06272746187266,22.727528470146083
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,83733,25.62,42.35,,
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,4086405,25.62,42.35,26.42921218083572,52.86847103284948
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,34366173,25.62,42.35,47.92172048214207,7.866753258497997
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,174244751,25.62,42.35,,
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1412268,25.62,42.35,,
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,90133,25.62,42.35,,
2016,2016,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,6011474,25.62,42.35,,
