yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,12477428,,,37.977378106878206,73.97804075806764
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,12759,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,295205,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,3143,,,59.36075159783851,25.01346951967388
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,132246,,,10.528384761701911,103.08333472012376
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,9384,,,25.499703063807168,75.5024015339642
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,104264,,,40.12399607988535,20.742583178432696
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,1095356,,,26.42921218083572,52.86847103284948
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,219567,,,47.92172048214207,7.866753258497997
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,15105060,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,4025,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,10665,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Pakistan, Pakistan,1007,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,14324,,,,
2009,2009,Import,Syria,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,220431,,,,
