yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,287688,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,708014,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,20,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,640925,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,539484,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,255783,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,203658,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,71973,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1096432,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6046023,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,20431,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,24117,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,1630,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,110727,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,18407,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1093296,26.1551249,50.5344606,,
2010,2010,Import,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,294796,26.1551249,50.5344606,,
