yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1923,,,43.897683433510366,-100.08947125585888
2009,2009,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,854,,,59.36075159783851,25.01346951967388
2009,2009,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,5558,,,,
