yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,2477778,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Central Asia,Asia,8182918,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,10056646,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,330967586,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,7935467,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,3600204,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,11726756,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,52844226,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,2275824,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,49284131,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,66671172,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,10402018,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Tunisia,Tunisia,3806325,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,3183937,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,49885880,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,683472991,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Afghanistan, Afghanistan,4685,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Algeria, Algeria,8595390,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Azerbaijan, Azerbaijan,997193,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Bahrain, Bahrain,186535,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Cyprus, Cyprus,452032,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Georgia, Georgia,953680,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Iraq, Iraq,4589481,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,5965977,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,3617463,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Kuwait, Kuwait,1402998,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,5679275,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Libya, Libya,2329572,38.9597594,34.9249653,,
2008,2008,Export,Turkey,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Malta, Malta,298361,38.9597594,34.9249653,,
