yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,70670858,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,38859,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,563772,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,9188876,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,6871378,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,3381715,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,5605720,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,69304012,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,12201095,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,614452,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2309968,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,3029439,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,14564,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2551242,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,112317302,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,399279691,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,633,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Armenia, Armenia,2042,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Azerbaijan, Azerbaijan,125189,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,32752,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,2101541,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,1876247,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,1004961,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,105816,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,7711,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,27090,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,1667823,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,2026,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,750337,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,9920,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,65206249,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,46156,24.0002488,53.9994829,,
2004,2004,Import,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,728260,24.0002488,53.9994829,,
