yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,124954,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,151968,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,455153,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,720,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,47333,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,313018,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,13456,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,2280294,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,959454,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,602,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1176970,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,21859,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,153891,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2004,2004,Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,86206378,24.0002488,53.9994829,,
