yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Qatar,World,64,Footwear; gaiters and the like; parts of such articles,8390990,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,France,64,Footwear; gaiters and the like; parts of such articles,114165,25.3336984,51.2295295,46.603354,1.8883335
2018,2018,Export,Qatar,Italy,64,Footwear; gaiters and the like; parts of such articles,2192098,25.3336984,51.2295295,42.6384261,12.674297
2018,2018,Export,Qatar,Jordan,64,Footwear; gaiters and the like; parts of such articles,19960,25.3336984,51.2295295,31.1667049,36.941628
2018,2018,Export,Qatar,Kuwait,64,Footwear; gaiters and the like; parts of such articles,1917629,25.3336984,51.2295295,29.2733964,47.4979476
2018,2018,Export,Qatar,Morocco,64,Footwear; gaiters and the like; parts of such articles,14893,25.3336984,51.2295295,31.1728205,-7.3362482
2018,2018,Export,Qatar,Oman,64,Footwear; gaiters and the like; parts of such articles,3241849,25.3336984,51.2295295,21.0000287,57.0036901
2018,2018,Export,Qatar,Netherlands,64,Footwear; gaiters and the like; parts of such articles,166015,25.3336984,51.2295295,52.2434979,5.6343227
2018,2018,Export,Qatar,Spain,64,Footwear; gaiters and the like; parts of such articles,189608,25.3336984,51.2295295,39.3260685,-4.8379791
2018,2018,Export,Qatar,Switzerland,64,Footwear; gaiters and the like; parts of such articles,203310,25.3336984,51.2295295,46.7985624,8.2319736
2018,2018,Export,Qatar,United Kingdom,64,Footwear; gaiters and the like; parts of such articles,331460,25.3336984,51.2295295,54.7023545,-3.2765753
