yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,857280,,,37.977378106878206,73.97804075806764
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,19786,,,10.528384761701911,103.08333472012376
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,226202,,,40.12399607988535,20.742583178432696
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,6151,,,6.06272746187266,22.727528470146083
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,834,,,,
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,6731,,,47.92172048214207,7.866753258497997
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,6032793,,,,
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,258,,,,
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,579326,,,,
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,1162333,,,,
2008,2008,Import,Fmr Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,188,,,,
