yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Import,Qatar,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",55525105,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Import,Qatar,Austria,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15877,25.3336984,51.2295295,47.59397,14.12456
2021,2021,Import,Qatar,Belgium,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1997701,25.3336984,51.2295295,50.6402809,4.6667145
2021,2021,Import,Qatar,Brazil,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2665842,25.3336984,51.2295295,-10.3333333,-53.2
2021,2021,Import,Qatar,Belarus,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",171662,25.3336984,51.2295295,53.4250605,27.6971358
2021,2021,Import,Qatar,Canada,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",68762,25.3336984,51.2295295,61.0666922,-107.991707
2021,2021,Import,Qatar,Chile,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",363217,25.3336984,51.2295295,-31.7613365,-71.3187697
2021,2021,Import,Qatar,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",381965,25.3336984,51.2295295,35.000074,104.999927
2021,2021,Import,Qatar,Denmark,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",571032,25.3336984,51.2295295,55.670249,10.3333283
2021,2021,Import,Qatar,France,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1482140,25.3336984,51.2295295,46.603354,1.8883335
2021,2021,Import,Qatar,Germany,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",314755,25.3336984,51.2295295,51.1638175,10.4478313
2021,2021,Import,Qatar,Greece,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",89416,25.3336984,51.2295295,38.9953683,21.9877132
2021,2021,Import,Qatar,Indonesia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",165549,25.3336984,51.2295295,-2.4833826,117.8902853
2021,2021,Import,Qatar,Iran,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",98030,25.3336984,51.2295295,32.6475314,54.5643516
2021,2021,Import,Qatar,Ireland,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",182295,25.3336984,51.2295295,52.865196,-7.9794599
2021,2021,Import,Qatar,Italy,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1399493,25.3336984,51.2295295,42.6384261,12.674297
2021,2021,Import,Qatar,Japan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",497887,25.3336984,51.2295295,36.5748441,139.2394179
2021,2021,Import,Qatar,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1497331,25.3336984,51.2295295,31.1667049,36.941628
2021,2021,Import,Qatar,Rep. of Korea,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",90620,25.3336984,51.2295295,,
2021,2021,Import,Qatar,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",251322,25.3336984,51.2295295,29.2733964,47.4979476
2021,2021,Import,Qatar,Lebanon,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1340778,25.3336984,51.2295295,33.8750629,35.843409
2021,2021,Import,Qatar,Madagascar,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",28320,25.3336984,51.2295295,-18.9249604,46.4416422
2021,2021,Import,Qatar,Malawi,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",81547,25.3336984,51.2295295,-13.2687204,33.9301963
2021,2021,Import,Qatar,Malaysia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",8083296,25.3336984,51.2295295,4.5693754,102.2656823
2021,2021,Import,Qatar,"Other Asia, nes",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",22167,25.3336984,51.2295295,,
2021,2021,Import,Qatar,Morocco,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",380323,25.3336984,51.2295295,31.1728205,-7.3362482
2021,2021,Import,Qatar,Oman,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1149628,25.3336984,51.2295295,21.0000287,57.0036901
2021,2021,Import,Qatar,Netherlands,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",440765,25.3336984,51.2295295,52.2434979,5.6343227
2021,2021,Import,Qatar,New Zealand,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",50800,25.3336984,51.2295295,-41.5000831,172.8344077
2021,2021,Import,Qatar,Norway,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",856673,25.3336984,51.2295295,60.5000209,9.0999715
2021,2021,Import,Qatar,Pakistan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1787233,25.3336984,51.2295295,30.3308401,71.247499
2021,2021,Import,Qatar,Paraguay,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",113925,25.3336984,51.2295295,,
2021,2021,Import,Qatar,Philippines,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4315174,25.3336984,51.2295295,12.7503486,122.7312101
