yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,189370,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,4354077,31.1667049,36.941628,37.977378106878206,73.97804075806764
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,19396928,31.1667049,36.941628,51.67568633314729,27.673469819741847
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,22633,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,403782,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2243075,31.1667049,36.941628,59.36075159783851,25.01346951967388
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,6285322,31.1667049,36.941628,10.528384761701911,103.08333472012376
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,8370796,31.1667049,36.941628,25.499703063807168,75.5024015339642
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,179813,31.1667049,36.941628,40.12399607988535,20.742583178432696
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,3000,31.1667049,36.941628,6.06272746187266,22.727528470146083
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,29432358,31.1667049,36.941628,26.42921218083572,52.86847103284948
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,13860207,31.1667049,36.941628,47.92172048214207,7.866753258497997
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,World,World,182781176,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,211486,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,7913796,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Israel, Israel,867487,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,234334,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,988703,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,17654,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,51329,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,51214,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,2368225,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,6474,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,561386,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,State of Palestine, State of Palestine,3710317,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,745120,31.1667049,36.941628,,
2003,2003,Export,Jordan,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,18950,31.1667049,36.941628,,
