yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2005,2005.0,Export,Armenia,World,11.0,Products of the milling industry; malt; starches; inulin,10630.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2005,2005.0,Export,Armenia,United Arab Emirates,11.0,Products of the milling industry; malt; starches; inulin,73.0,,40.7696272,44.6736646,24.0002488,53.9994829
2005,2005.0,Export,Armenia,United Kingdom,11.0,Products of the milling industry; malt; starches; inulin,5.0,,40.7696272,44.6736646,54.7023545,-3.2765753
2005,2005.0,Export,Armenia,USA,11.0,Products of the milling industry; malt; starches; inulin,10552.0,,40.7696272,44.6736646,39.7837304,-100.445882
