yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,933022,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,3001712,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,8393682,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,746749,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,4000668,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2322068,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,47884,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,19655,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,24317387,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,9086,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,23218499,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,2884151,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,20538545,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,94608821,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,1362,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,2414556,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,8334,28.0000272,2.9999825,,
2005,2005,Import,Algeria,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,69853,28.0000272,2.9999825,,
