yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,358,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,10958,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,6356,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,14914,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,14595,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,31951,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,4427,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,104,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,1339740,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Bahrain, Bahrain,37286,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,36593,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,20599,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,43590,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,56153,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,13100,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Libya, Libya,56251,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,44560,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,61502,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,714944,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,State of Palestine, State of Palestine,3482,35.8885993,14.4476911,,
2011,2011,Export,Malta,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,168017,35.8885993,14.4476911,,
